지구,팀,캠퍼스,참여인원
서울지구,동팀,서일대학교,
서울지구,동팀,세종대학교,
서울지구,동팀,한양대학교,
서울지구,동팀,한양여자대학교,
서울지구,동팀,건국대학교,
서울지구,동팀,한국체육대학교,
서울지구,동팀,장로회신학대학교,
서울지구,서팀,명지전문대학,
서울지구,서팀,명지대학교,
서울지구,서팀,서강대학교,
서울지구,서팀,연세대학교,
서울지구,서팀,경기대학교,
서울지구,서팀,농협대학교,
서울지구,서팀,이화여자대학교,
서울지구,서팀,중부대학교,
서울지구,서팀,추계예술대학교,
서울지구,서팀,한국항공대학교,
서울지구,서팀,홍익대학교,
서울지구,남팀,서울대학교,
서울지구,남팀,숭실대학교,
서울지구,남팀,서울교육대학교,
서울지구,남팀,중앙대학교,
서울지구,남팀,백석예술대학교,
서울지구,남팀,동양미래대학교,
서울지구,남팀,강서대학교,
서울지구,남팀,총신대학교,
서울지구,북팀,고려대학교,
서울지구,북팀,동덕여자대학교,
서울지구,북팀,서경대학교,
서울지구,북팀,성신여자대학교,
서울지구,북팀,국민대학교,
서울지구,중앙팀,숙명여자대학교,
서울지구,중앙팀,동국대학교,
서울지구,중앙팀,상명대학교,
서울지구,중앙팀,숭의여자대학교,
서울지구,북동팀,광운대학교,
서울지구,북동팀,서울과학기술대학교,
서울지구,북동팀,서울여자대학교,
서울지구,북동팀,인덕대학교,
서울지구,북동팀,한국성서대학교,
서울지구,북동팀,경희대학교,
서울지구,북동팀,한국외국어대학교,
서울지구,북동팀,서울시립대학교,
서울지구,북중앙팀,덕성여자대학교,
서울지구,북중앙팀,배화여자대학교,
서울지구,북중앙팀,성균관대학교,
서울지구,북중앙팀,한성대학교,
